"","gene","IL-1_1","IL-1_2","IL-1_3","LPS_1","LPS_2","LPS_3","PAM_1","PAM_2","PAM_3","Con_1","Con_2","Con_3"
"7283","100043214",0,0,0,0,0,0,0,0,0,0,0,0
"7284","100101491",0,0,0,0,0,0,0,0,0,0,0,0
"7285","100043202",0,0,0,0,0,0,0,0,0,0,0,0
"7286","667574",0,0,0,0,0,0,0,0,0,0,0,0
"7287","195296",0,0,0,0,0,0,0,0,0,0,0,0
"7288","667583",0,0,0,0,0,0,0,0,0,0,0,0
"7289","385047",0,0,0,0,0,0,0,0,0,0,0,0
"7290","320734",0,0,0,0,0,0,0,0,0,0,0,0
"7291","667596",1,0,0,0,0,0,0,0,0,0,0,0
"7292","667604",0,0,0,0,0,1,0,0,0,0,0,0
"7293","547329",0,0,0,0,0,0,0,0,0,0,0,0
"7294","639655",0,0,0,0,0,1,0,1,0,0,0,0
"7295","634322",0,0,0,0,0,0,0,0,0,0,0,0
"7296","636127",0,0,0,0,1,0,0,0,0,0,0,0
"7297","279872",0,0,0,0,0,0,0,0,0,0,0,0
"7298","100126451",0,0,0,0,0,0,0,0,0,0,0,0
"7299","667626",0,0,0,0,0,0,0,0,0,0,0,0
"7300","620297",0,0,0,0,0,0,0,0,0,0,0,0
"7301","100042560",0,0,0,0,0,0,0,0,0,0,0,0
"7302","667635",0,0,0,0,0,0,0,0,0,0,0,0
"7303","100043218",0,0,0,0,0,0,0,0,0,0,0,0
"7304","100042568",0,0,0,0,0,0,0,0,0,0,0,0
"7305","100043204",0,0,0,0,0,0,0,0,0,0,0,0
"7306","100126452",0,0,0,0,0,0,0,0,0,0,0,0
"7307","100042574",0,0,0,0,0,0,0,0,0,0,0,0
"7308","667660",0,0,0,0,0,0,0,0,0,0,0,0
"7309","100042579",0,0,0,0,0,0,0,0,0,0,0,0
"7310","100126454",0,0,0,0,0,0,0,0,0,0,0,0
"7311","100043270",0,0,0,0,0,0,0,0,0,0,0,0
"7312","100043274",0,0,0,0,0,0,0,0,0,0,0,0
"7313","667681",0,0,0,0,0,0,0,0,0,0,0,0
"7314","100042593",0,0,0,0,0,0,0,0,0,0,0,0
"7315","193574",0,0,0,0,0,0,0,0,0,0,0,0
"7316","547424",0,0,0,0,0,0,0,0,0,0,0,0
"7317","100043282",0,0,0,0,0,0,0,0,0,0,0,0
"7318","279882",0,0,0,0,0,0,0,0,0,0,0,0
"7319","100042607",0,0,0,0,0,0,0,0,0,0,0,0
"7320","100042614",0,0,0,0,0,0,0,0,0,0,0,0
"7321","100126456",0,0,0,0,0,0,0,0,0,0,0,0
"7322","100126457",0,0,0,0,0,0,0,0,0,0,0,0
"7323","547328",0,0,0,0,0,0,0,0,0,0,0,0
"7324","100126458",0,0,0,0,0,0,0,0,0,0,0,0
"7325","100126459",0,0,0,0,0,0,0,0,0,0,0,0
"7326","100126460",0,0,0,0,0,0,0,0,0,0,0,1
"7327","100043308",0,0,0,0,0,0,0,0,0,0,0,0
"7328","634132",0,0,0,0,0,0,0,0,0,0,0,0
"7329","100126462",0,0,0,0,0,0,0,0,0,0,0,0
"7330","328483",0,0,0,0,0,1,0,0,0,0,0,0
"7331","547420",0,0,0,0,0,0,0,0,0,0,0,0
"7332","100126463",0,0,0,0,0,0,0,0,0,1,0,0
"7333","386450",0,0,0,0,0,0,0,0,0,0,0,0
"7334","674098",0,0,0,0,0,0,0,0,0,0,0,0
"7335","627324",0,0,0,0,0,0,0,0,0,0,0,0
"7336","100126464",0,0,0,0,0,0,0,0,0,0,0,0
"7337","667765",0,0,0,0,0,0,0,0,0,0,0,0
"7338","100126465",0,0,0,0,0,0,0,0,0,0,0,0
"7339","100126466",0,0,0,0,0,0,0,0,0,0,0,0
"7340","630061",0,0,0,0,0,0,0,0,0,0,0,0
"7341","630086",0,0,0,0,0,0,0,0,0,0,0,0
"7342","100126469",0,0,0,0,0,0,0,0,0,0,0,1
"7343","436467",0,0,0,0,0,0,0,0,0,0,0,0
"7344","386446",0,0,0,0,0,0,0,0,0,0,0,0
"7345","436479",0,0,0,0,0,0,0,0,0,0,0,0
"7346","100126471",0,0,0,0,0,0,0,0,0,0,0,1
"7347","100043322",0,0,0,0,0,2,0,0,0,0,0,1
"7348","654836",0,0,0,0,0,0,0,0,0,0,0,0
"7349","638566",0,0,0,1,1,0,0,0,0,0,0,2
"7350","667567",3,0,0,0,0,0,0,0,0,0,0,0
"7351","436545",0,0,0,0,2,0,0,0,0,0,0,0
"7352","320898",0,0,0,0,0,0,0,0,0,0,0,0
"7353","630461",0,0,0,0,0,0,0,0,0,0,0,0
"7354","100113414",0,2,0,3,0,0,0,0,0,0,0,0
"7355","21507",0,0,0,0,0,0,0,0,0,0,0,0
"7356","100113413",0,0,0,0,0,3,0,0,0,0,0,0
"7357","213480",0,0,0,0,0,0,0,0,0,0,0,0
"7358","432910",0,0,0,0,0,0,0,0,0,0,0,0
"7359","193587",0,0,0,0,0,0,0,0,0,0,0,0
"7360","195297",0,0,0,0,0,0,0,0,0,0,0,0
"7361","100113412",0,0,0,0,0,0,1,0,0,0,0,0
"7362","547330",0,0,0,0,0,0,0,0,0,0,0,0
"7363","211027",0,0,0,0,0,1,0,0,0,0,0,0
"7364","219060",0,0,0,0,0,1,0,0,0,0,0,0
"7365","627777",0,0,0,0,0,0,0,0,0,0,0,0
"7366","547427",0,0,0,0,0,1,0,0,0,0,0,0
"7367","547428",0,0,0,0,0,0,1,0,0,0,0,0
"7368","100101940",0,0,0,0,2,0,0,0,0,0,0,0
"7369","627813",0,0,0,0,0,0,0,0,0,1,0,0
