Gene_ID,IL.1_1,IL.1_2,IL.1_3,LPS_1,LPS_2,LPS_3,PAM_1,PAM_2,PAM_3,Con_1,Con_2,Con_3
244058,2.618671016,2.184851929,2.64120159,2.634823537,2.51256276,2.906392068,1.925726436,1.900869178,2.108870356,2.97905952,1.822191288,1.009033481
244059,4.181118477,4.487264985,4.603834645,4.386088251,4.763685994,5.154476314,4.428928866,4.677543709,4.401570265,3.863914612,4.130641857,4.354254851
69170,3.324438621,3.091940249,2.975163194,3.517284754,2.971907529,3.420626173,3.504980757,3.719263347,3.746874404,2.707704402,3.16668976,3.639143056
108116,1.146116787,0.999887973,0.150275553,0.993218376,-0.13783174,0.889757342,-0.061848502,0.222976772,0.752886939,-0.345180093,-0.818810342,-1.405712512
75547,5.85030727,5.830828129,5.841034211,6.566666955,6.728786832,6.947708227,6.097082638,6.274656018,5.629984302,5.620655879,5.08097627,4.321855928
100504230,3.902536227,3.911978826,3.947628659,4.338451728,4.760238852,5.162842454,4.153611709,4.132739614,4.488598831,3.929385091,3.910934007,4.334902937
207952,4.442965136,4.250401991,4.281043812,5.86568967,6.06266847,6.074942824,4.919882098,5.501309989,4.61776878,4.205274518,3.533308068,3.361635904
67308,5.912665193,6.069519197,6.114921735,6.091843228,6.124301078,6.029917561,6.238851778,6.264275204,6.60002395,6.074004749,6.602764105,7.370118824
67994,5.117042845,5.336870297,5.288832623,5.283745695,5.274446737,5.212045377,5.270050845,5.463243202,5.834311982,5.455466515,6.133831217,6.7684858
76375,4.661485234,4.557217183,4.837009128,4.529350798,4.483346459,4.342573021,4.557618416,4.609464548,4.586544256,4.726473626,4.757177839,4.643581021
68048,5.590637648,5.40530207,5.414386162,5.517123105,5.510233416,5.421776515,5.447777963,5.113144879,5.397874752,5.777774191,5.362712849,5.226523683
57444,4.679530919,4.994286542,4.766088474,5.401013481,5.254984077,5.469769082,5.270050845,5.428799907,5.385833014,4.343788912,4.473646293,5.047889284
17304,7.823825045,7.724063278,7.858638163,7.845412576,7.931637394,7.899780802,7.885721963,7.859772608,7.471152246,7.934002705,7.686956503,6.983620857
54608,2.344839462,2.580016225,2.568964429,2.892146458,2.319963172,2.325310966,2.274637683,1.979123884,2.375639537,2.325362869,2.255009582,1.675133955
208836,3.56346077,2.879522611,3.269143372,2.938528844,2.821254114,2.703432402,3.266092205,2.50516908,2.681726326,3.207366063,2.755504593,1.500867142
18975,4.655419494,4.242335216,4.175535195,4.341906995,4.770555665,4.736485207,3.820156695,4.210495462,3.811318153,4.735653537,3.787108891,3.690800727
77011,1.96792727,1.801394324,2.055386951,2.061282316,1.7537913,1.853416062,1.04740887,0.948879916,1.541879269,2.349482017,2.178216035,1.009033481
16576,1.180315897,1.30882627,1.052827512,1.49328397,1.00791285,1.97241948,1.464564286,1.230622878,0.752886939,1.493170686,1.121190281,0.942399468
626359,0.750411825,1.213013917,0.693833825,0.88369175,1.512881164,0.968226494,0.894463481,0.999825626,-1.430604787,0.463276014,0.388714886,1.009033481
16790,0.921918668,0.389615249,0.335848975,0.805763539,0.577592753,1.042646923,0.894463481,1.668709983,0.100136235,0.978289426,0.388714886,0.362708462
11778,5.674010158,5.697043808,5.63534108,5.648495836,5.550703271,5.724129161,5.62434961,5.237754485,5.317744537,5.728045849,5.483325547,5.5951833
70420,5.628288111,5.516508771,5.645621385,5.529297366,5.658328165,5.481521852,5.767035124,5.458697997,5.629984302,5.755382657,5.612979395,5.804286796
209225,2.374683069,1.563135375,2.037653379,1.844566806,1.576983816,2.596323144,1.758511723,1.09661817,1.086256362,1.65674643,1.200995946,0.872538158
269951,8.206930441,8.375687115,8.283908681,8.313694084,8.3508808,8.287997326,8.518520916,8.7566669,8.331292147,8.298530203,8.494219034,8.715702348
20352,4.197909462,3.860206088,4.379359333,5.389372547,5.184719589,5.230072287,4.640121912,4.613559379,4.081486382,3.921361929,4.150878865,2.324897534
23991,5.314731185,5.444503837,5.372558656,5.350448646,5.314953161,5.353979964,5.367715562,5.428799907,5.943087763,5.265722284,5.590929647,6.32273273
269952,3.376991472,3.55620597,3.606408031,3.529457657,3.504183934,3.258338196,3.513760321,2.889820368,3.699014443,3.415897575,3.608401091,4.110512067
83485,6.338883864,6.469175617,6.472584744,6.294453501,6.084885164,6.146293365,6.428378497,6.101790003,6.59872039,6.107980833,6.281103288,6.763669407
233405,4.851219233,4.59254849,4.504052527,4.670696674,4.615129239,4.486163073,4.774039923,4.657851737,4.731568191,4.576166446,4.682684661,4.893310896
233406,6.863728412,6.625433139,6.773764873,7.063328172,6.908474959,6.727108148,6.763519929,6.885324086,6.874471798,7.049076655,6.93582141,6.635082172
269955,0.795237528,1.037667778,1.052827512,0.993218376,0.754330014,0.173609875,0.221483413,0.84125142,1.356868219,1.206708708,0.63845925,-0.116417893
101869,4.333253663,4.111163531,4.332857707,4.523276735,4.618940658,4.595271973,4.323021851,3.633140016,3.577225092,4.453567109,3.862671659,2.951498211
140481,4.239051341,4.728698813,4.474698941,4.278409529,4.370313143,4.640903723,4.332977528,4.26877885,4.302561749,4.282471037,4.099743925,4.435237215
